UID,Category,ObsDate,Log,Male1ID,FemID,Bird2ID,DisplayShort,DisplayShort_AfterCop,DisplayCode,DisplayCode_AfterCop,Duration
1052,SOLO,2017-10-28,FalseLog,980,NA,NA,SLAD;Zro;HafB;Othr;Bow;Mix;Bow;Bow;ALAD;HdBw;Zro;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;Zro;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;Bow;Bow;ALAD;HdBw,NA,CAELDKDDBFADDDDDDDDDBFAAADDDDDDBFAADDBF,NA,213.141
1056,SOLO,2017-10-28,FalseLog,980,NA,NA,HafB;Zro;HafB;HafB;Othr;Othr;Bow;Othr;Othr;Bow;ALAD;HdBw;Zro;Zro;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;Zro;Othr;Othr;Bow;Othr;SLAD;Zro;Othr;Othr;ALAD;HdBw;Zro;Zro,NA,EAEELLDLLDBFAADDDBFAAALLDLCALLBFAA,NA,142.28
1078,SOLO,2017-10-30,Bare,296,NA,NA,Mix;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;Mix;Zro;Bow;Bow;Mix;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;Zro;Bow;Bow;Bow;Mix;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro;Bow;Bow;SLAD;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro,NA,KDDDDDDBFKADDKDDDDDDDBFFFFADDDKDDDDDDBFFADDCDDDDDDBFFA,NA,173.30200000000002
1082,SOLO,2017-10-30,Bare,296,NA,NA,ALAD;HdBw;Zro;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro,NA,BFADDDDDDBFFA,NA,67.22
1083,SOLO,2017-10-30,Bare,296,NA,NA,SLAD;Zro;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro,NA,CADDDBFAADDDDDDDBFFADDDDDDDDBFA,NA,139.02100000000002
1087,AUDI,2017-10-30,FalseLog,980,8400,NA,Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck,NA,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDBFFFFFFFFIIIIIIII,NA,114.6
1088,AUDI,2017-10-30,FalseLog,980,8400,NA,Taf;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Taf;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;AttC;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Taf;Taf;Taf;Taf;Taf;Taf;Taf,NA,JHHHHHHHHHJIIIDDDDDDDDDDDDDDBFMIIIIIIIIIIIIIIIIIIIIDDDDDDIIIIIIJJJJJJJ,NA,140.484
1090,SOLO,2017-10-30,FalseLog,980,NA,NA,Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;Bow;Bow;ALAD;HdBw;Zro;Zro,NA,DDDDBFAADDBFAA,NA,113.99100000000001
110,SOLO,2017-09-18,CR,8000,NA,NA,Zro;Zro;Bow;ALAD;HdBw;Zro;Zro;Zro;Bow;Zro;ALAD;HdBw;Zro;Zro;Zro;Zro;Zro;Zro;ALAD;Zro;Zro;ALAD;HdBw;Zro;Zro;SLAD;HdBw;Zro;Zro;Zro,NA,AADBFAAADABFAAAAAABAABFAACFAAA,NA,118.509
1100,SOLO,2017-10-30,Luis,296,NA,NA,ALAD;HdBw;Zro;ALAD;HdBw;Zro;Zro;Zro;SLAD;Zro;SLAD;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro,NA,BFABFAAACACDDDBFFA,NA,97.95
1101,AUDI,2017-10-31,Bare,296,8200,NA,Neck;Neck;Neck;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;ALAD;HdBw;HdBw;HdBw;HdBw;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Swtc;Swtc;Swtc;Swtc;Swtc;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;Neck;Swtc;Swtc;Swtc;Swtc;Swtc;Neck;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Taf;Neck;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Swtc;Swtc;Swtc;Swtc,NA,IIIDDDDBFFFFFDDDDDDDDDDDDDDDDDDDDDDDDDDIIBFFFFDDDDDDDIIIHHHHHIIDDDDDDDBFFFIHHHHHIDDDDIIIIIIIIIIIIIJIDDDDDDBFFFFFFIIIIIIIHHHH,NA,208.883
1106,SOLO,2017-10-31,Bare,296,NA,NA,SLAD;Zro;Bow;Zro;Bow;Bow;Bow;ALAD;HdBw;Zro;SLAD;Zro;SLAD;Bow;Bow;ALAD;HdBw;Zro;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;SLAD;Bow;Bow;ALAD;HdBw;SLAD;HafB;Bow,NA,CADADDDBFACACDDBFADDDDDBFAACDDBFCED,NA,265.625
1107,SOLO,2017-10-31,Bare,296,NA,NA,HafB;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HafB,NA,EDDDDDBFADDDDDDDBFFFFFDDDDDBFFE,NA,94.49600000000001
1114,SOLO,2017-10-31,FalseLog,980,NA,NA,Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro,NA,DDDDDBFAADDDDDDBFA,NA,86.21400000000001
