UID,ObsDate,Log,Observer,Time,Male1ID,FemID,Bird2ID,FemOnOff,FemUpDown,Behavior,MaleOtherBeh1
23,6/24/2016,First,NC,78.083,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,82.985,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,101.302,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,103.511,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,104.11,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,119.772,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,121.521,296,NA,NA,Female Off Log,NA,Male1 Half-bow Right,
23,6/24/2016,First,NC,127.032,296,NA,NA,Female Off Log,NA,Male1 ALAD,
23,6/24/2016,First,NC,128.78,296,NA,NA,Female Off Log,NA,Male1 HeadDownBowing,
23,6/24/2016,First,NC,129.033,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
23,6/24/2016,First,NC,131.89,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,135.543,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,137.548,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,138.397,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,160.573,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
23,6/24/2016,First,NC,162.075,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
23,6/24/2016,First,NC,164.11,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
23,6/24/2016,First,NC,167.078,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
23,6/24/2016,First,NC,168.572,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,171.073,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
23,6/24/2016,First,NC,173.572,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
23,6/24/2016,First,NC,175.115,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,179.087,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,196.149,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
23,6/24/2016,First,NC,197.606,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,200.607,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,203.107,296,NA,NA,Female Off Log,NA,Male1 BowLeft,
23,6/24/2016,First,NC,203.666,296,NA,NA,Female Off Log,NA,Male1 BowRight,
23,6/24/2016,First,NC,204.115,296,NA,NA,Female Off Log,NA,Male1 BowLeft,
23,6/24/2016,First,NC,210.637,296,NA,NA,Female Off Log,NA,Male1 ALAD,
23,6/24/2016,First,NC,212.616,296,NA,NA,Female Off Log,NA,Male1 HeadDownBowing,
23,6/24/2016,First,NC,216.122,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,221.108,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,222.615,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,224.628,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
23,6/24/2016,First,NC,226.637,296,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
23,6/24/2016,First,NC,231.141,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,231.746,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,242.14,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,
23,6/24/2016,First,NC,248.654,296,NA,NA,Female Off Log,NA,End,
32,9/12/2017,CrossRiver,NO,0.42,8000,8200,NA,Female Off Log,NA,Start,NA
32,9/12/2017,CrossRiver,NO,5.103,8000,8200,NA,Female Off Log,NA,Male1 TafLF_Off,NA
32,9/12/2017,CrossRiver,NO,9.602,8000,8200,NA,Female Off Log,NA,Male1 TafLF_On,NA
32,9/12/2017,CrossRiver,NO,12.853,8000,8200,NA,Female Off Log,NA,Male1 TafLF_Off,NA
32,9/12/2017,CrossRiver,NO,17.852,8000,8200,NA,Female Off Log,NA,Male1 TafLF_On,NA
32,9/12/2017,CrossRiver,NO,21.602,8000,8200,NA,Female Off Log,NA,Male1 TafLF_Off,NA
32,9/12/2017,CrossRiver,NO,31.853,8000,8200,NA,Female Off Log,NA,Male1 TafLF_On,NA
32,9/12/2017,CrossRiver,NO,35.604,8000,8200,NA,Female Off Log,NA,Male1 TafLF_Off,NA
32,9/12/2017,CrossRiver,NO,37.352,8000,8200,NA,Female Off Log,NA,Male1 TafLF_On,NA
32,9/12/2017,CrossRiver,NO,37.89,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
32,9/12/2017,CrossRiver,NO,38.14,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
32,9/12/2017,CrossRiver,NO,38.64,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
32,9/12/2017,CrossRiver,NO,39.14,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
32,9/12/2017,CrossRiver,NO,39.64,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
32,9/12/2017,CrossRiver,NO,40.39,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
32,9/12/2017,CrossRiver,NO,40.89,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
32,9/12/2017,CrossRiver,NO,42.14,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
32,9/12/2017,CrossRiver,NO,42.64,8000,8200,NA,Female On Log,FemDown,Female On Log,NA
32,9/12/2017,CrossRiver,NO,42.89,8000,8200,NA,Female On Log,FemDown,Male1 BowRight,NA
32,9/12/2017,CrossRiver,NO,43.64,8000,8200,NA,Female On Log,FemDown,Male1 BowLeft,NA
32,9/12/2017,CrossRiver,NO,43.641,8000,8200,NA,Female On Log,FemDown,Female Looking Away,NA
32,9/12/2017,CrossRiver,NO,44.189,8000,8200,NA,Female On Log,FemDown,Male1 BowRight,NA
32,9/12/2017,CrossRiver,NO,45.14,8000,8200,NA,Female On Log,FemDown,Male1 BowLeft,NA
32,9/12/2017,CrossRiver,NO,46.14,8000,8200,NA,Female On Log,FemDown,Female Tracking Male,NA
32,9/12/2017,CrossRiver,NO,54.65,8000,8200,NA,Female On Log,NA,Male1 ALAD,NA
32,9/12/2017,CrossRiver,NO,55.147,8000,8200,NA,Female On Log,FemUp,Female ResponseToALAD,NA
32,9/12/2017,CrossRiver,NO,55.147,8000,8200,NA,Female On Log,FemUp,Male1 HeadDownBowing,NA
32,9/12/2017,CrossRiver,NO,55.89,8000,8200,NA,Female On Log,FemUp,Female Looking Away,NA
32,9/12/2017,CrossRiver,NO,57.642,8000,8200,NA,Female On Log,FemUp,FemaleSwitch,NA
32,9/12/2017,CrossRiver,NO,58.397,8000,8200,NA,Female On Log,FemUp,Male1 HeadDownBowing,NA
32,9/12/2017,CrossRiver,NO,58.64,8000,8200,NA,Female Off Log,NA,Female Off Log,NA
32,9/12/2017,CrossRiver,NO,58.898,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
32,9/12/2017,CrossRiver,NO,59.648,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
