UID,Category,maleID,femID,b2ID,hasFemOn,hasFemAction,hasAttCop,hasCop,hasMaleFem,hasB2Action,hasMaleB2
1128,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1133,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1134,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1135,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1149,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1181,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1184,AUDI,296,8200,8300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1185,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1191,AUDI,980,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1193,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1194,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1205,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1207,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1209,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1210,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1211,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1223,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1225,AUDI,980,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1232,AUDI,296,8300,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1238,AUDI,980,289,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1244,AUDI,296,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1248,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1256,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1268,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1279,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1294,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1295,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1313,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1324,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1325,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1326,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1327,MULT,113,8300,299,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
1329,SOLO,113,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1333,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1336,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1352,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1353,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1354,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1355,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1358,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1362,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1363,SOLO,113,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1375,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1381,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1384,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1385,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1386,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1387,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1392,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1400,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1401,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1407,AUDI,299,295,8300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1408,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1419,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1420,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1421,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1425,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1432,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1433,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1437,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1438,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1439,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1440,AUDI,299,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1452,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1455,COP,296,936,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1464,AUDI,113,8400,299,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1479,AUDI,296,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1480,AUDI,296,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1482,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1486,AUDI,296,981,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1487,AUDI,296,981,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1489,AUDI,296,294,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1490,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1491,MULT,113,,299,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1494,SOLO,113,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1495,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1496,SOLO,113,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1497,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1507,AUDI,296,294,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1510,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1513,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1515,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1516,MULT,299,8400,133,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
1519,AUDI,299,981,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1520,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1531,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1533,COP,296,8200,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1535,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1539,AUDI,296,118,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1542,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1543,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1555,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1558,COP,296,8200,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1561,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1562,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1564,SOLO,113,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1578,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1579,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1580,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1583,AUDI,296,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1585,MULT,296,294,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
1588,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1600,AUDI,296,294,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1605,AUDI,296,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1606,AUDI,296,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1620,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1621,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1622,AUDI,296,981,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1631,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1645,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
